horse_id,horse_name,declared_entry_count,nonempty_entry_count,mojibake_cells_repaired,qc_status,source_url
2010105964,マイネルミラノ,62,62,9,PASS,https://db.netkeiba.com/horse/ped/2010105964/
2010104298,ラブリーデイ,62,62,16,PASS,https://db.netkeiba.com/horse/ped/2010104298/
2008105362,ナカヤマナイト,62,62,15,PASS,https://db.netkeiba.com/horse/ped/2008105362/
2010103783,ロゴタイプ,62,62,7,PASS,https://db.netkeiba.com/horse/ped/2010103783/
2008103265,デウスウルト,62,62,13,PASS,https://db.netkeiba.com/horse/ped/2008103265/
2010110107,ヒュウマ,62,62,2,PASS,https://db.netkeiba.com/horse/ped/2010110107/
2008101384,メイショウナルト,62,62,16,PASS,https://db.netkeiba.com/horse/ped/2008101384/
2009106558,アイスフォーリス,62,62,14,PASS,https://db.netkeiba.com/horse/ped/2009106558/
2010103776,ユールシンギング,62,62,18,PASS,https://db.netkeiba.com/horse/ped/2010103776/
2011106350,マイネルフロスト,62,62,6,PASS,https://db.netkeiba.com/horse/ped/2011106350/
2007102705,ペルーサ,62,62,7,PASS,https://db.netkeiba.com/horse/ped/2007102705/
2009105738,クランモンタナ,62,62,10,PASS,https://db.netkeiba.com/horse/ped/2009105738/
2009104264,ケイアイエレガント,62,62,4,PASS,https://db.netkeiba.com/horse/ped/2009104264/
2009101075,ラブイズブーシェ,62,62,24,PASS,https://db.netkeiba.com/horse/ped/2009101075/
2010104993,バッドボーイ,62,62,5,PASS,https://db.netkeiba.com/horse/ped/2010104993/
2009110101,アンコイルド,62,62,1,PASS,https://db.netkeiba.com/horse/ped/2009110101/
2008103125,パッションダンス,62,62,6,PASS,https://db.netkeiba.com/horse/ped/2008103125/
2012102487,クラージュシチー,62,62,13,PASS,https://db.netkeiba.com/horse/ped/2012102487/
2012104665,ブライトバローズ,62,62,7,PASS,https://db.netkeiba.com/horse/ped/2012104665/
2012103195,オトコギイッポン,62,62,13,PASS,https://db.netkeiba.com/horse/ped/2012103195/
2012104672,ダノンリバティ,62,62,11,PASS,https://db.netkeiba.com/horse/ped/2012104672/
2012104508,クルーガー,62,62,8,PASS,https://db.netkeiba.com/horse/ped/2012104508/
2012103997,イーデンホール,62,62,7,PASS,https://db.netkeiba.com/horse/ped/2012103997/
2012104678,ブラックバゴ,62,62,21,PASS,https://db.netkeiba.com/horse/ped/2012104678/
2012106012,タケルラムセス,62,62,8,PASS,https://db.netkeiba.com/horse/ped/2012106012/
2012100734,マイネルシュバリエ,62,62,19,PASS,https://db.netkeiba.com/horse/ped/2012100734/
2012103796,フォワードカフェ,62,62,4,PASS,https://db.netkeiba.com/horse/ped/2012103796/
2012103387,ディアコンチェルト,62,62,17,PASS,https://db.netkeiba.com/horse/ped/2012103387/
2012103017,バルビエール,62,62,5,PASS,https://db.netkeiba.com/horse/ped/2012103017/
2012103988,ソールインパクト,62,62,4,PASS,https://db.netkeiba.com/horse/ped/2012103988/
2012109092,ナスノセイカン,62,62,17,PASS,https://db.netkeiba.com/horse/ped/2012109092/
2012103129,コスモナインボール,62,62,7,PASS,https://db.netkeiba.com/horse/ped/2012103129/
2012104648,ザイディックメア,62,62,8,PASS,https://db.netkeiba.com/horse/ped/2012104648/
2012104084,ベルーフ,62,62,10,PASS,https://db.netkeiba.com/horse/ped/2012104084/
2008103293,ゼンノルジェロ,62,62,4,PASS,https://db.netkeiba.com/horse/ped/2008103293/
2011104344,ハギノハイブリッド,62,62,14,PASS,https://db.netkeiba.com/horse/ped/2011104344/
2009106388,ホーカーテンペスト,62,62,4,PASS,https://db.netkeiba.com/horse/ped/2009106388/
2011105911,アドマイヤデウス,62,62,11,PASS,https://db.netkeiba.com/horse/ped/2011105911/
