horse_id,horse_name,ancestor,occurrences,cross_pattern,paths,total_blood_share_pct,wright_F_contribution_pct,is_sire_dam_common
2014105887,サトノアーサー,Lyphard,2,4x5,SDSS|DDDSS,9.375,0.390625,True
2014105887,サトノアーサー,Northern Dancer,3,4x5x5,SDSSS|DSSSS|DDSS,12.5,0.5859375,True
2014105887,サトノアーサー,Nureyev,2,2x3,DD|DDS,37.5,0.0,False
2014101417,ジョーストリクトリ,Cosmah,2,5x5,SSSSD|DSDSD,6.25,0.1953125,True
2014101417,ジョーストリクトリ,Hail to Reason,2,5x5,SSSSS|DSDSS,6.25,0.1953125,True
2014101417,ジョーストリクトリ,Halo,4,2x3x4x4,SSSS|DS|DSD|DSDS,50.0,5.46875,True
2014101417,ジョーストリクトリ,Northern Dancer,2,4x5,DSSSS|DDSS,9.375,0.0,False
2014102698,キョウヘイ,Cosmah,2,5x5,SSSSD|DSSSD,6.25,0.1953125,True
2014102698,キョウヘイ,Hail to Reason,3,5x5x5,SSSSS|DSSSS|DDSSS,9.375,0.390625,True
2014102698,キョウヘイ,Halo,2,4x4,SSSS|DSSS,12.5,0.78125,True
2014102698,キョウヘイ,Mountain Flower,2,5x5,SSSDD|DSSDD,6.25,0.1953125,True
2014102698,キョウヘイ,Nijinsky,2,4x5,SSDSS|DSDS,9.375,0.390625,True
2014102698,キョウヘイ,Sunday Silence,2,3x3,SSS|DSS,25.0,3.125,True
2014102698,キョウヘイ,Understanding,2,5x5,SSSDS|DSSDS,6.25,0.1953125,True
2014102698,キョウヘイ,Wishing Well,2,4x4,SSSD|DSSD,12.5,0.78125,True
2012104936,アルター,Northern Dancer,2,4x5,DSSSS|DDSS,9.375,0.0,False
2013110045,ラニ,Mr. Prospector,2,4x5,SSDS|SDSSS,9.375,0.0,False
2013110045,ラニ,Northern Dancer,2,4x5,SDDSS|DDSS,9.375,0.390625,True
2010104022,ハッピーモーメント,Northern Dancer,2,5x5,SDSSS|DDDSS,6.25,0.1953125,True
2011103872,ステイインシアトル,Hail to Reason,2,4x5,SSSS|DSDDS,9.375,0.390625,True
2011103872,ステイインシアトル,Northern Dancer,2,4x5,SDDSS|DSSS,9.375,0.390625,True
2013106189,ローズウィスパー,Northern Dancer,2,4x5,SDSS|DDDSS,9.375,0.390625,True
2011104643,ハツガツオ,Almahmoud,2,5x5,DSSDD|DDSDD,6.25,0.0,False
2011104643,ハツガツオ,Hail to Reason,2,4x5,SDDDS|DDSS,9.375,0.390625,True
2011104643,ハツガツオ,Natalma,2,4x5,SDSSD|DSSD,9.375,0.390625,True
2011104643,ハツガツオ,Nearctic,2,4x5,SDSSS|DSSS,9.375,0.390625,True
2011104643,ハツガツオ,Northern Dancer,2,3x4,SDSS|DSS,18.75,1.5625,True
2011106372,クラリティシチー,Mr. Prospector,2,3x5,SSS|DDDSS,15.625,0.78125,True
2011106372,クラリティシチー,Northern Dancer,2,5x5,SSDSS|SDSSS,6.25,0.0,False
2013102596,ヴォージュ,Hail to Reason,2,5x5,SSSSS|DSSSS,6.25,0.1953125,True
2013102596,ヴォージュ,Halo,2,4x5,SSSS|DDSSS,9.375,0.390625,True
2013102596,ヴォージュ,Sunday Silence,2,3x4,SSS|DDSS,18.75,1.5625,True
2013102596,ヴォージュ,Wishing Well,2,4x5,SSSD|DDSSD,9.375,0.390625,True
2012106426,タツゴウゲキ,Cosmah,2,4x5,SSSD|DSDSD,9.375,0.390625,True
2012106426,タツゴウゲキ,Hail to Reason,2,4x5,SSSS|DSDSS,9.375,0.390625,True
2012106426,タツゴウゲキ,Halo,2,3x4,SSS|DSDS,18.75,1.5625,True
