horse_id,horse_name,source_url,qc_status,sire,dam,broodmare_sire,sire_sire,sire_dam_sire,dam_dam,female_tail_5gen,sire_line,sire_broad_line,broodmare_sire_line,broodmare_sire_broad_line,sire_x_bms_line,sire_broad_x_bms_broad,sire_line_x_female_tail,repeated_ancestor_count,cross_summary,wright_F_approx_pct,blood_sunday_silence_pct,blood_northern_dancer_pct,blood_mr_prospector_pct,blood_kingmambo_pct,blood_roberto_pct,blood_sadler_s_wells_pct,blood_danzig_pct,blood_halo_pct,blood_hail_to_reason_pct,blood_seattle_slew_pct,blood_a_p_indy_pct,blood_nijinsky_pct,blood_nureyev_pct,blood_storm_cat_pct,blood_deputy_minister_pct,blood_tony_bin_pct,blood_lyphard_pct,blood_raise_a_native_pct,blood_native_dancer_pct
2019106877,ミナモトフェイス,https://db.netkeiba.com/horse/ped/2019106877/,PASS,キタサンブラック,パーフェクトチャンス Perfect Chance,Unbridled's Song,ブラックタイド,サクラバクシンオー,Win Crafty Lady,Jay's Intent,Sunday Silence,Hail to Reason,Mr. Prospector,Native Dancer,Sunday Silence__X__Mr. Prospector,Hail to Reason__X__Native Dancer,Sunday Silence__X__Jay's Intent,2,Lyphard:5x5;Mr. Prospector:4x5,0.0,12.5,0.0,9.375,0.0,0.0,0.0,0.0,6.25,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,3.125,0.0
2019104700,ラリュエル,https://db.netkeiba.com/horse/ped/2019104700/,PASS,Deep Impact,カウアイレーン,King Kamehameha,Sunday Silence,Alzao,シルバーレーン Silver Lane,Crawfish,Deep Impact,Hail to Reason,King Kamehameha,Native Dancer,Deep Impact__X__King Kamehameha,Hail to Reason__X__Native Dancer,Deep Impact__X__Crawfish,2,Hail to Reason:4x5;Pocahontas:5x5,0.5859375,25.0,3.125,6.25,12.5,6.25,0.0,0.0,12.5,9.375,0.0,0.0,0.0,3.125,0.0,0.0,0.0,6.25,3.125,0.0
2019105207,サリエラ,https://db.netkeiba.com/horse/ped/2019105207/,PASS,Deep Impact,サロミナ Salomina,Lomitas,Sunday Silence,Alzao,Saldentigerin,Salesiana,Deep Impact,Hail to Reason,Nijinsky,Northern Dancer,Deep Impact__X__Nijinsky,Hail to Reason__X__Northern Dancer,Deep Impact__X__Salesiana,1,Northern Dancer:5x5,0.1953125,25.0,6.25,0.0,0.0,0.0,0.0,3.125,12.5,6.25,0.0,0.0,6.25,0.0,0.0,0.0,0.0,6.25,0.0,0.0
2019101670,メモリーレゾン,https://db.netkeiba.com/horse/ped/2019101670/,PASS,オルフェーヴル,メモリーパフィア,ノボジャック,Stay Gold,メジロマックイーン,メモリーラマン,Zitza,Stay Gold,Hail to Reason,Deputy Minister,Northern Dancer,Stay Gold__X__Deputy Minister,Hail to Reason__X__Northern Dancer,Stay Gold__X__Zitza,2,Northern Dancer:5x5;Northern Taste:4x5,0.1953125,12.5,6.25,3.125,0.0,0.0,0.0,0.0,6.25,3.125,0.0,0.0,0.0,0.0,0.0,6.25,12.5,6.25,0.0,0.0
2019100664,エグランタイン,https://db.netkeiba.com/horse/ped/2019100664/,PASS,キズナ,ラトナプラ,Distorted Humor,Deep Impact,Storm Cat,Bon Jovi Girl,Jungle Mythologic,Deep Impact,Hail to Reason,Mr. Prospector,Native Dancer,Deep Impact__X__Mr. Prospector,Hail to Reason__X__Native Dancer,Deep Impact__X__Jungle Mythologic,4,Danzig:3x4;Mr. Prospector:4x5;Northern Dancer:5x5;Raise a Native:5x5,0.1953125,12.5,6.25,9.375,0.0,0.0,0.0,18.75,6.25,3.125,3.125,6.25,0.0,0.0,12.5,0.0,0.0,3.125,6.25,0.0
2019100464,ヒヅルジョウ,https://db.netkeiba.com/horse/ped/2019100464/,PASS,ハービンジャー Harbinger,サンデージョウ,グラスワンダー,Dansili,Bering,イシノクイル,Quill,Danzig,Northern Dancer,Roberto,Hail to Reason,Danzig__X__Roberto,Northern Dancer__X__Hail to Reason,Danzig__X__Quill,5,Danzig:4x4;Hail to Reason:5x5;His Majesty:5x5;Northern Dancer:5x5x5;Pas de Nom:5x5,1.5625,12.5,9.375,0.0,0.0,6.25,0.0,12.5,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0
2019103430,ベリーヴィーナス,https://db.netkeiba.com/horse/ped/2019103430/,PASS,キズナ,ティーエスベリー,New Approach,Deep Impact,Storm Cat,ファウヴェリア,Britannia's Rule,Deep Impact,Hail to Reason,Sadler's Wells,Northern Dancer,Deep Impact__X__Sadler's Wells,Hail to Reason__X__Northern Dancer,Deep Impact__X__Britannia's Rule,2,Northern Dancer:5x5x5;Sadler's Wells:4x5,0.390625,12.5,9.375,0.0,0.0,0.0,9.375,6.25,6.25,3.125,0.0,0.0,0.0,0.0,12.5,0.0,0.0,3.125,0.0,0.0
2019103973,ルージュリナージュ,https://db.netkeiba.com/horse/ped/2019103973/,PASS,スピルバーグ,パンツァネッラ,ルーラーシップ,Deep Impact,Lycius,シルバーフォックス,Dream Deal,Deep Impact,Hail to Reason,King Kamehameha,Native Dancer,Deep Impact__X__King Kamehameha,Hail to Reason__X__Native Dancer,Deep Impact__X__Dream Deal,5,Halo:4x5;Lyphard:5x5;Mr. Prospector:4x5;Sunday Silence:3x4;Wishing Well:4x5,2.734375,18.75,3.125,9.375,6.25,0.0,6.25,0.0,9.375,3.125,0.0,0.0,0.0,3.125,0.0,3.125,6.25,6.25,3.125,0.0
2019105552,ローシャムパーク,https://db.netkeiba.com/horse/ped/2019105552/,PASS,ハービンジャー Harbinger,レネットグルーヴ,King Kamehameha,Dansili,Bering,イントゥザグルーヴ,シャダイフェザー,Danzig,Northern Dancer,King Kamehameha,Native Dancer,Danzig__X__King Kamehameha,Northern Dancer__X__Native Dancer,Danzig__X__シャダイフェザー,1,Northern Dancer:5x5,0.0,12.5,6.25,6.25,12.5,0.0,0.0,6.25,6.25,3.125,0.0,0.0,0.0,3.125,0.0,0.0,6.25,3.125,3.125,0.0
2019105546,マテンロウスカイ,https://db.netkeiba.com/horse/ped/2019105546/,PASS,モーリス,レッドラヴィータ,スペシャルウィーク,スクリーンヒーロー,カーネギー Carnegie,ディクシージャズ,Lady Offshore,Roberto,Hail to Reason,Sunday Silence,Hail to Reason,Roberto__X__Sunday Silence,Hail to Reason__X__Hail to Reason,Roberto__X__Lady Offshore,4,Halo:4x5;Northern Dancer:5x5;Sunday Silence:3x4;Wishing Well:4x5,2.5390625,18.75,6.25,0.0,0.0,3.125,6.25,3.125,9.375,3.125,0.0,0.0,3.125,0.0,0.0,0.0,12.5,3.125,0.0,0.0
